1,10,10,D
2,2,6,T
3,Q,3,D
4,10,Q,T
5,Q,2,D
6,A,2,T
7,4,K,T
8,7,2,D
9,A,2,T
10,6,10,T
11,K,4,D
12,7,5,D
13,6,5,D
14,2,9,T
15,9,K,T
16,A,6,T
17,10,A,D
18,2,J,T
19,A,10,T
20,K,Q,D
21,K,2,D
22,9,A,D
23,10,K,T
24,7,9,T
25,6,3,D
26,7,9,T
27,K,5,D
28,5,7,T
29,J,J,T
30,J,4,D
31,9,J,T
32,7,9,T
33,J,10,D
34,K,6,D
35,9,A,D
36,5,7,T
37,Q,Q,SAME
38,3,K,T
39,A,A,D
40,Q,6,D
41,K,3,D
42,5,9,T
43,K,Q,D
44,J,8,D
45,6,K,T
46,6,10,T
47,7,K,T
48,4,Q,T
49,4,4,D
50,Q,3,D
51,J,Q,T
52,9,7,D
53,7,9,T
54,2,2,D
55,8,5,D
56,4,3,D
57,3,3,D
58,2,8,T
59,9,3,D
60,A,3,T
61,2,8,T
62,A,6,T
63,7,K,T
64,8,J,T
65,6,J,T
66,Q,J,D
67,3,4,T
68,2,2,T
69,3,K,T
70,6,J,T
71,9,2,D
72,8,6,D
73,4,9,T
74,10,7,D
75,Q,10,D
76,4,2,D
77,A,A,T
78,8,6,D
79,K,A,D
80,J,8,D
81,8,A,D
82,7,5,D
83,K,K,D
84,8,2,D
85,4,A,D
86,3,2,D
87,2,8,T
88,Q,J,D
89,9,8,D
90,9,Q,T
91,A,Q,T
92,8,K,T
93,A,A,SAME
94,6,Q,T
95,3,2,D
96,K,4,D
97,K,10,D
98,5,10,T
99,8,7,D
100,6,K,T
101,K,6,D
102,4,6,T
103,9,9,T
104,3,J,T
105,K,J,D
106,4,7,T
107,K,7,D
108,A,7,T
109,K,J,D
110,3,8,T
111,Q,2,D
112,3,4,T
113,8,7,D
114,9,4,D
115,5,4,D
116,3,J,T
117,K,Q,D
118,8,8,T
119,9,6,D
120,A,8,T
121,4,A,D
122,4,6,T
123,9,10,T
124,A,K,T
125,K,A,D
126,4,3,D
127,A,2,T
128,3,7,T
129,K,9,D
130,A,2,T
131,7,A,D
132,10,6,D
133,7,7,T
134,5,5,T
135,4,2,D
136,9,3,D
137,10,K,T
138,5,2,D
139,6,9,T
140,J,7,D
141,5,Q,T
142,6,5,D
143,2,2,D
144,K,7,D
145,8,K,T
146,7,3,D
147,8,J,T
148,J,10,D
149,9,9,T
150,5,7,T
151,9,6,D
152,A,K,T
153,Q,8,D
154,6,K,T
155,3,8,T
156,5,8,T
157,7,8,T
158,K,J,D
159,J,2,D
160,7,8,T
161,8,6,D
162,J,4,D
163,3,K,T
164,10,K,T
165,J,7,D
166,5,5,SAME
167,3,J,T
168,A,4,T
169,2,J,T
170,A,7,T
171,Q,10,D
172,2,A,D
173,7,J,T
174,10,Q,T
175,7,K,T
176,J,6,D
177,Q,4,D
178,J,7,D
179,9,K,T
180,4,2,D
181,2,A,D
182,Q,7,D
183,8,2,D
184,Q,5,D
185,3,10,T
186,7,J,T
187,2,8,T
188,3,K,T
189,3,2,D
190,6,4,D
191,2,10,T
192,9,2,D
193,K,K,SAME
194,5,2,D
195,K,6,D
196,3,6,T
197,5,6,T
198,9,K,T
199,6,9,T
200,6,10,T
201,Q,5,D
202,10,7,D
203,A,7,T
204,4,5,T
205,J,9,D
206,2,3,T
207,K,3,D
208,5,5,D
209,Q,4,D
210,8,6,D
211,2,A,D
212,K,K,SAME
213,Q,J,D
214,6,K,T
215,K,9,D
216,7,9,T
217,8,8,SAME
218,5,J,T
219,9,A,D
220,6,A,D
221,K,4,D
222,9,2,D
223,9,J,T
224,J,8,D
225,10,2,D
226,10,7,D
227,J,5,D
228,J,5,D
229,Q,2,D
230,4,8,T
231,9,7,D
232,10,J,T
233,2,3,T
234,7,6,D
235,2,9,T
236,10,J,T
237,J,8,D
238,A,9,T
239,5,2,D
240,Q,A,D
241,10,A,D
242,4,Q,T
243,8,7,D
244,6,K,T
245,4,10,T
246,5,5,T
247,6,K,T
248,6,Q,T
249,J,A,D
250,7,8,T
251,2,Q,T
252,4,J,T
253,7,9,T
254,J,7,D
255,4,3,D
256,2,3,T
257,5,7,T
258,9,9,D
259,6,8,T
260,J,2,D
261,K,J,D
262,6,7,T
263,K,9,D
264,6,Q,T
265,A,10,T
266,7,3,D
267,6,2,D
268,K,9,D
269,9,4,D
270,Q,5,D
271,7,3,D
272,9,A,D
273,K,3,D
274,A,7,T
275,9,A,D
276,10,2,D
277,4,10,T
278,3,10,T
279,5,3,D
280,7,2,D
281,K,Q,D
282,9,2,D
283,9,4,D
284,K,10,D
285,6,K,T
286,6,A,D
287,A,J,T
288,6,Q,T
289,7,10,T
290,7,10,T
291,9,5,D
292,8,Q,T
293,9,4,D
294,8,10,T
295,8,2,D
296,10,8,D
297,4,2,D
298,3,4,T
299,3,7,T
300,A,10,T
301,6,6,T
302,J,8,D
303,J,4,D
304,6,Q,T
305,4,8,T
306,7,A,D
307,10,K,T
308,J,3,D
309,6,6,T
310,3,J,T
311,Q,J,D
312,J,9,D
313,4,5,T
314,7,9,T
315,A,6,T
316,7,9,T
317,A,7,T
318,3,Q,T
319,A,10,T
320,Q,J,D
321,2,J,T
322,J,5,D
323,9,2,D
324,5,3,D
325,5,J,T
326,J,A,D
327,Q,Q,SAME
328,4,10,T
329,8,5,D
330,5,3,D
331,A,8,T
332,4,8,T
333,8,10,T
334,10,10,T
335,8,8,T
336,6,10,T
337,7,9,T
338,4,K,T
339,4,Q,T
340,6,7,T
341,J,J,D
342,10,J,T
343,2,9,T
344,2,J,T
345,5,8,T
