1,10,10,D
2,2,6,T
3,Q,3,D
4,9,2,T
5,8,9,T
6,7,3,D
7,6,4,T
8,5,8,D
9,4,10,T
10,3,5,D
11,2,2,SAME
12,A,K,T
13,K,Q,D
14,Q,J,T
15,J,10,D
16,10,9,T
17,9,8,D
18,8,7,T
19,7,6,D
20,6,5,T
21,5,4,D
22,4,3,T
23,3,2,D
24,2,A,T
25,A,K,D
26,K,Q,T
27,Q,J,D
28,J,10,T
29,10,9,D
30,9,8,T
31,8,7,D
32,7,6,T
33,6,5,D
34,5,4,T
35,4,3,D
36,3,2,T
37,2,A,D
38,A,K,T
39,K,Q,D
40,Q,J,T
41,J,10,D
42,10,9,T
43,9,8,D
44,8,7,T
45,7,6,D
46,6,5,T
47,5,4,D
48,4,3,T
49,3,2,D
50,2,A,T
51,A,K,D
52,K,Q,T
53,Q,J,D
54,J,10,T
55,10,9,D
56,9,8,T
57,8,7,D
58,7,6,T
59,6,5,D
60,5,4,T
61,4,3,D
62,3,2,T
63,2,A,D
64,A,K,T
65,K,Q,D
66,Q,J,T
67,J,10,D
68,10,9,T
69,9,8,D
70,8,7,T
71,7,6,D
72,6,5,T
73,5,4,D
74,4,3,T
75,3,2,D
76,2,A,T
77,A,K,D
78,K,Q,T
79,Q,J,D
80,J,10,T
81,10,9,D
82,9,8,T
83,8,7,D
84,7,6,T
85,6,5,D
86,5,4,T
87,4,3,D
88,3,2,T
89,2,A,D
90,A,K,T
91,K,Q,D
92,Q,J,T
93,J,10,D
94,10,9,T
95,9,8,D
96,8,7,T
97,7,6,D
98,6,5,T
99,5,4,D
100,4,3,T
101,3,2,D
102,2,A,T
103,A,K,D
104,K,Q,T
105,Q,J,D
106,J,10,T
107,10,9,D
108,9,8,T
109,8,7,D
110,7,6,T
111,6,5,D
112,5,4,T
113,4,3,D
114,3,2,T
115,2,A,D
116,A,K,T
117,K,Q,D
118,Q,J,T
119,J,10,D
120,10,9,T
121,9,8,D
122,8,7,T
123,7,6,D
124,6,5,T
125,5,4,D
126,4,3,T
127,3,2,D
128,2,A,T
129,A,K,D
130,K,Q,T
131,Q,J,D
132,J,10,T
133,10,9,D
134,9,8,T
135,8,7,D
136,7,6,T
137,6,5,D
138,5,4,T
139,4,3,D
140,3,2,T
141,2,A,D
142,A,K,T
143,K,Q,D
144,Q,J,T
145,J,10,D
146,10,9,T
147,9,8,D
148,8,7,T
149,7,6,D
150,6,5,T
151,5,4,D
152,4,3,T
153,3,2,D
154,2,A,T
155,A,K,D
156,K,Q,T
157,Q,J,D
158,J,10,T
159,10,9,D
160,9,8,T
161,8,7,D
162,7,6,T
163,6,5,D
164,5,4,T
165,4,3,D
166,3,2,T
167,2,A,D
168,A,K,T
169,K,Q,D
170,Q,J,T
171,J,10,D
172,10,9,T
173,9,8,D
174,8,7,T
175,7,6,D
176,6,5,T
177,5,4,D
178,4,3,T
179,3,2,D
180,2,A,T
181,A,K,D
182,K,Q,T
183,Q,J,D
184,J,10,T
185,10,9,D
186,9,8,T
187,8,7,D
188,7,6,T
189,6,5,D
190,5,4,T
191,4,3,D
192,3,2,T
193,2,A,D
194,A,K,T
195,K,Q,D
196,Q,J,T
197,J,10,D
198,10,9,T
199,9,8,D
200,8,7,T
201,7,6,D
202,6,5,T
203,5,4,D
204,4,3,T
205,3,2,D
206,2,A,T
207,A,K,D
208,K,Q,T
209,Q,J,D
210,J,10,T
211,10,9,D
212,9,8,T
213,8,7,D
214,7,6,T
215,6,5,D
216,5,4,T
217,4,3,D
218,3,2,T
219,2,A,D
220,A,K,T
221,K,Q,D
222,Q,J,T
223,J,10,D
224,10,9,T
225,9,8,D
226,8,7,T
227,7,6,D
228,6,5,T
229,5,4,D
230,4,3,T
231,3,2,D
232,2,A,T
233,A,K,D
234,K,Q,T
235,Q,J,D
236,J,10,T
237,10,9,D
238,9,8,T
239,8,7,D
240,7,6,T
241,6,5,D
242,5,4,T
243,4,3,D
244,3,2,T
245,2,A,D
246,A,K,T
247,K,Q,D
248,Q,J,T
249,J,10,D
250,10,9,T
251,9,8,D
252,8,7,T
253,7,6,D
254,6,5,T
255,5,4,D
256,4,3,T
257,3,2,D
258,2,A,T
259,A,K,D
260,K,Q,T
261,Q,J,D
262,J,10,T
263,10,9,D
264,9,8,T
265,8,7,D
266,7,6,T
267,6,5,D
268,5,4,T
269,4,3,D
270,3,2,T
271,2,A,D
272,A,K,T
273,K,Q,D
274,Q,J,T
275,J,10,D
276,10,9,T
277,9,8,D
278,8,7,T
279,7,6,D
280,6,5,T
281,5,4,D
282,4,3,T
283,3,2,D
284,2,A,T
285,A,K,D
286,K,Q,T
287,Q,J,D
288,J,10,T
289,10,9,D
290,9,8,T
291,8,7,D
292,7,6,T
293,6,5,D
294,5,4,T
295,4,3,D
296,3,2,T
297,2,A,D
298,A,K,T
299,K,Q,D
300,Q,J,T
301,J,10,D
302,10,9,T
303,9,8,D
304,8,7,T
305,7,6,D
306,6,5,T
307,5,4,D
308,4,3,T
309,3,2,D
310,2,A,T
311,A,K,D
312,K,Q,T
313,Q,J,D
314,J,10,T
315,10,9,D
316,9,8,T
317,8,7,D
318,7,6,T
319,6,5,D
320,5,4,T
321,4,3,D
322,3,2,T
323,2,A,D
324,A,K,T
325,K,Q,D
326,Q,J,T
327,J,10,D
328,10,9,T
329,9,8,D
330,8,7,T
331,7,6,D
332,6,5,T
333,5,4,D
334,4,3,T
335,3,2,D
336,2,A,T
337,9,T,D
338,K,Q,T
339,Q,J,D
340,J,10,T
341,10,9,D
342,9,8,T
343,8,7,D
344,2,J,T
345,7,6,D
346,6,5,T
